Step Price ManagerIncome NbOp NbSh
 548 13.87         45.31    1    2
 549 13.87         45.31    0    0
 550 13.87         45.31    0    0
 551 13.87         45.31    0    0
 552 13.87         45.31    0    0
 553 13.87         45.31    0    0
 554 13.87         45.31    0    0
 555 13.87         45.31    0    0
 556 13.87         45.31    0    0
 557 13.87         45.31    0    0
 558 13.20         45.34    1    1
 559 13.95         45.43    1    1
 560 13.95         45.43    0    0
 561 13.95         45.43    0    0
 562 13.23         45.48    1    1
 563 13.23         45.48    0    0
 564 12.82         45.60    2    2
 565 12.82         45.60    0    0
 566 11.62         46.02    4    4
 567 11.62         46.02    0    0
 568 11.89         46.03    1    1
 569 12.68         46.03    1    1
 570 11.38         46.17    1    3
 571 11.15         46.28    2    2
 572 10.89         46.29    1    1
 573 11.10         46.33    1    1
 574 11.24         46.79    2    4
 575 11.66         46.82    1    1
 576 11.39         46.96    2    2
 577 12.67         46.97    1    2
 578 12.67         46.97    0    0
 579 11.08         47.01    1    2
 580 10.15         47.15    1    1
 581 10.15         47.15    0    0
 582  9.88         47.22    1    1
 583  9.75         47.34    1    1
 584  9.81         47.53    2    2
 585 10.94         47.60    1    1
 586 10.79         47.82    3    3
 587 10.67         48.08    3    4
 588 10.87         48.33    2    2
 589 10.39         48.35    2    2
 590 10.39         48.35    0    0
 591 10.50         48.51    2    2
 592 10.50         48.51    0    0
 593 10.50         48.51    0    0
 594 10.47         48.53    1    1
 595 11.12         48.53    1    1
 596 11.30         48.66    2    2
 597 12.40         48.69    1    1
 598 12.40         48.69    0    0
 599 12.79         48.78    1    1
 600 11.67         48.84    1    1
 601 11.67         48.84    0    0
 602 12.18         48.86    1    1
 603 13.02         49.12    2    2
 604 13.02         49.12    0    0
 605 12.28         49.21    1    1
 606 11.70         49.22    1    1
 607 11.36         49.30    2    2
 608 11.36         49.30    0    0
 609 11.36         49.30    0    0
 610 10.92         49.49    2    2
 611 10.92         49.49    0    0
 612 10.52         49.65    2    2
 613 11.77         49.68    1    1
 614 11.77         49.68    0    0
 615 11.77         49.68    0    0
 616 11.77         49.68    0    0
 617 11.77         49.68    0    0
 618 12.04         49.77    1    1
 619 11.48         49.90    1    1
 620 11.48         49.90    0    0
 621 11.48         49.90    0    0
 622 11.48         49.90    0    0
 623 11.72         49.95    2    2
 624 11.45         50.10    1    1
 625 11.45         50.10    0    0
 626 11.45         50.10    0    0
 627 11.45         50.10    0    0
 628 11.45         50.10    0    0
 629  9.75         50.28    2    2
 630  9.64         50.36    2    2
 631  9.18         50.37    1    1
 632  9.07         50.42    2    3
 633  9.58         50.48    1    1
 634 10.23         50.51    1    1
 635 10.23         50.51    0    0
 636  9.47         50.65    2    2
 637  9.47         50.65    0    0
 638 10.67         50.70    1    1
 639 10.67         50.70    0    0
 640  9.99         50.75    1    1
 641  9.99         50.75    0    0
 642  9.97         50.78    1    2
 643 10.10         50.84    1    1
 644 10.45         50.85    1    1
 645 10.85         50.89    1    1
 646 11.78         51.30    2    3
 647 11.41         51.35    1    1
 648 11.45         51.47    2    2
 649 11.23         51.71    4    4
 650 11.23         51.71    0    0
 651 11.48         51.77    1    1
 652 11.48         51.77    0    0
 653 12.77         51.90    2    2
 654 12.85         51.91    1    1
 655 14.29         52.00    2    2
 656 14.29         52.00    0    0
 657 13.03         52.15    1    1
 658 13.03         52.15    0    0
 659 13.03         52.15    0    0
 660 13.03         52.15    0    0
 661 12.42         52.38    2    3
 662 12.42         52.38    0    0
 663 12.03         52.48    2    2
 664 12.03         52.48    0    0
 665 12.03         52.48    0    0
 666 12.03         52.48    0    0
 667 12.04         52.65    3    4
 668 12.04         52.65    0    0
 669 12.04         52.65    0    0
 670 13.65         52.66    1    2
 671 14.52         52.74    1    1
 672 15.36         52.79    2    2
 673 15.36         52.79    0    0
 674 16.16         52.90    1    1
 675 17.39         53.27    2    2
 676 17.75         53.42    2    2
 677 17.66         53.44    1    1
 678 16.55         53.54    1    1
